"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","13-MAY-2026","02-JUN-2026","X6","0.76","1.00","0.76","0.75","0.90","10.00","0.01","30,688","30,387.86","109"
"TCS","13-MAY-2026","02-JUN-2026","U1","2.00","3.72","2.00","1.81","3.00","3.72","0.50","93,731","2,80,258.29","234"
"TCS","12-MAY-2026","02-JUN-2026","X6","1.00","1.00","0.40","0.01","0.75","10.00","0.01","13,702","9,096.16","42"
"TCS","12-MAY-2026","02-JUN-2026","U1","1.80","2.00","1.80","1.50","1.81","3.00","0.50","1,680","3,056.00","4"
"TCS","12-MAY-2026","07-JUL-2026","X7","1.25","1.25","0.70","1.25","1.20","44.57","0.50","103","122.65","3"
"TCS","11-MAY-2026","07-JUL-2026","X7","44.57","44.57","1.25","0.50","1.25","44.57","0.50","641","1,594.57","3"
"TCS","11-MAY-2026","02-JUN-2026","U1","2.00","2.00","1.50","1.95","1.50","3.00","0.50","1,022","1,783.00","6"
"TCS","08-MAY-2026","02-JUN-2026","U1","1.95","1.95","1.95","2.44","1.95","3.00","0.50","875","1,706.25","1"
"TCS","08-MAY-2026","07-JUL-2026","X7","0.50","0.50","0.50","2.75","0.50","4.00","0.50","9","4.50","1"
"TCS","08-MAY-2026","02-JUN-2026","X6","5.73","10.00","0.01","0.15","0.01","10.00","0.01","80","771.48","4"
"TCS","07-MAY-2026","02-JUN-2026","U1","1.50","2.50","1.50","2.49","2.44","3.00","0.50","21,700","50,394.40","88"
"TCS","07-MAY-2026","07-JUL-2026","X7","2.50","4.00","1.12","2.79","2.75","4.00","0.90","47,325","1,35,816.66","128"
"TCS","07-MAY-2026","02-JUN-2026","X6","1.00","1.50","0.15","0.10","0.15","5.90","0.10","11,216","16,555.90","29"
"TCS","06-MAY-2026","02-JUN-2026","U1","1.90","3.00","1.90","3,498.10","2.49","3.00","0.50","1,00,317","2,63,485.31","169"
"TCS","06-MAY-2026","02-JUN-2026","X6","0.50","0.50","0.10","1.50","0.10","5.90","0.10","59","25.90","3"
"TCS","06-MAY-2026","07-JUL-2026","X7","3.00","3.01","1.01","3.00","2.79","3.01","0.90","12,528","31,479.86","61"
"TCS","05-MAY-2026","07-JUL-2026","X7","1.99","3.00","1.99","0.90","3.00","3.00","0.90","25","65.91","3"
"TCS","05-MAY-2026","02-JUN-2026","X6","4.99","4.99","1.50","1.30","1.50","5.90","0.11","2,949","6,258.94","14"
"TCS","04-MAY-2026","02-JUN-2026","X6","1.00","1.30","1.00","3.38","1.30","5.90","0.11","91","101.80","3"
"TCS","30-APR-2026","02-JUN-2026","X6","3.01","3.50","2.60","3.43","3.38","5.90","0.11","7,94,796","23,53,328.30","440"
"TCS","29-APR-2026","05-MAY-2026","X5","0.39","0.39","0.39","1.25","0.39","6.00","0.10","409","159.51","2"
"TCS","29-APR-2026","02-JUN-2026","X6","3.90","3.90","2.00","3.59","3.43","5.90","0.11","4,41,501","13,38,004.86","352"
"TCS","28-APR-2026","05-MAY-2026","X5","0.30","1.25","0.30","1.25","1.25","6.00","0.10","13,300","7,315.00","4"
"TCS","28-APR-2026","05-MAY-2026","Y1","3.00","3.75","2.00","2.90","2.00","3.75","0.50","1,09,499","3,15,616.35","378"
"TCS","28-APR-2026","02-JUN-2026","X6","4.00","5.90","2.20","2.87","3.59","5.90","0.11","6,58,800","23,00,119.29","611"
"TCS","27-APR-2026","05-MAY-2026","X5","1.25","1.25","1.25","3.00","1.25","6.00","0.10","1,050","1,312.50","1"
"TCS","27-APR-2026","05-MAY-2026","Y1","0.96","3.00","0.95","0.97","2.90","3.00","0.50","34,003","58,345.26","107"
"TCS","27-APR-2026","02-JUN-2026","X6","2.50","3.75","2.40","0.11","2.87","5.90","0.11","43,164","1,16,081.05","180"
"TCS","24-APR-2026","05-MAY-2026","Y1","0.97","0.97","0.96","0.97","0.97","1.25","0.50","7,875","7,638.40","5"
"TCS","23-APR-2026","05-MAY-2026","Y1","1.00","1.00","0.90","1.00","0.97","1.25","0.50","58,200","56,893.67","28"
"TCS","23-APR-2026","02-JUN-2026","X6","3.00","3.00","0.11","4.02","0.11","5.90","0.11","70,005","2,10,000.55","10"
"TCS","22-APR-2026","05-MAY-2026","X5","1.00","3.00","1.00","4.20","3.00","6.00","0.10","876","2,409.50","7"
"TCS","22-APR-2026","05-MAY-2026","Y1","0.97","1.25","0.97","1.00","1.00","1.25","0.50","30,000","29,929.28","70"
"TCS","21-APR-2026","05-MAY-2026","X5","3.50","4.94","2.00","2.99","4.20","6.00","0.10","1,33,839","4,85,670.91","337"
"TCS","21-APR-2026","02-JUN-2026","X6","1.01","5.90","1.01","1.50","4.02","5.90","0.11","39,192","1,50,573.61","109"
"TCS","20-APR-2026","02-JUN-2026","X6","4.00","4.00","1.50","3.21","1.50","4.00","0.11","39,220","1,32,194.16","114"
"TCS","20-APR-2026","05-MAY-2026","X5","3.00","6.00","1.16","3.00","2.99","6.00","0.10","46,906","1,63,111.54","175"
"TCS","17-APR-2026","05-MAY-2026","X5","3.00","4.00","2.50","2.10","3.00","4.01","0.10","50,119","1,54,061.48","119"
